id,question,score,reason
0,"这是一个计算机模拟的小区及小区居民,居民只有6种地理位置状态:家、路上、工作地、学校、小区商场、小区公共场所,小区居民只有15种动作:睡觉、保持、休息娱乐、吃饭、散步、阅读、运动、工作、学习、购物、回家、去工作地、去学校、去小区商场、去小区公共场所,周一到周五是工作日,上班族都得去工作,工作时间一般在8点到18点之间,学生都得去上学,一般在7点到17点在学校学习,其他时间在工作地或者在学校都是不合理的,自由职业和退休人员一般都呆在家里,有时候去小区公共场所散步或运动,去小区商场买东西,晚上23点到早上6点间在社区活动不合理,模拟小区开始模拟时间是周一早上0点,所有居民都是睡觉状态,居民每天睡觉8小时左右,晚上23点到早上7点之间睡觉都合理,我们想在这个小区中模拟出正常人的行为,需要你对模拟人的状态行为打分,以保证模拟人会越来越接近正常人类,彭平是一名正常32岁的模拟小区居民, 男性,他未婚, 受教育程度是本科, 目前是处于自由职业阶段,今天是2024年2月的一天, 周一工作日, 北京时间0点0分, 他在家里睡觉,在0点5分到0点10分, 他去小区公共场所,现在时间是0点10分,他在小区公共场所散步,请回答他目前行为状态的合理程度,主要考虑时间、地点、行为以及历史行为,100为合理,0为不合理,50为不确定是否合理请结合上述让模拟趋近真实的意图,直接给出0、50、100数值就行,不要说其他任何话,不用说明理由
",,
1,"这是一个计算机模拟的小区及小区居民,居民只有6种地理位置状态:家、路上、工作地、学校、小区商场、小区公共场所,小区居民只有15种动作:睡觉、保持、休息娱乐、吃饭、散步、阅读、运动、工作、学习、购物、回家、去工作地、去学校、去小区商场、去小区公共场所,周一到周五是工作日,上班族都得去工作,工作时间一般在8点到18点之间,学生都得去上学,一般在7点到17点在学校学习,其他时间在工作地或者在学校都是不合理的,自由职业和退休人员一般都呆在家里,有时候去小区公共场所散步或运动,去小区商场买东西,晚上23点到早上6点间在社区活动不合理,模拟小区开始模拟时间是周一早上0点,所有居民都是睡觉状态,居民每天睡觉8小时左右,晚上23点到早上7点之间睡觉都合理,我们想在这个小区中模拟出正常人的行为,需要你对模拟人的状态行为打分,以保证模拟人会越来越接近正常人类,马松是一名正常39岁的模拟小区居民, 男性,他未婚, 受教育程度是大专, 目前是处于自由职业阶段,今天是2024年2月的一天, 周一工作日, 北京时间0点0分, 他在家里睡觉,在0点5分到0点10分, 他去小区公共场所,现在时间是0点10分,他去小区公共场所,请回答他目前行为状态的合理程度,主要考虑时间、地点、行为以及历史行为,100为合理,0为不合理,50为不确定是否合理请结合上述让模拟趋近真实的意图,直接给出0、50、100数值就行,不要说其他任何话,不用说明理由
",,
2,"这是一个计算机模拟的小区及小区居民,居民只有6种地理位置状态:家、路上、工作地、学校、小区商场、小区公共场所,小区居民只有15种动作:睡觉、保持、休息娱乐、吃饭、散步、阅读、运动、工作、学习、购物、回家、去工作地、去学校、去小区商场、去小区公共场所,周一到周五是工作日,上班族都得去工作,工作时间一般在8点到18点之间,学生都得去上学,一般在7点到17点在学校学习,其他时间在工作地或者在学校都是不合理的,自由职业和退休人员一般都呆在家里,有时候去小区公共场所散步或运动,去小区商场买东西,晚上23点到早上6点间在社区活动不合理,模拟小区开始模拟时间是周一早上0点,所有居民都是睡觉状态,居民每天睡觉8小时左右,晚上23点到早上7点之间睡觉都合理,我们想在这个小区中模拟出正常人的行为,需要你对模拟人的状态行为打分,以保证模拟人会越来越接近正常人类,吴志是一名正常49岁的模拟小区居民, 男性,他已婚, 受教育程度是本科, 目前是处于自由职业阶段,今天是2024年2月的一天, 周一工作日, 北京时间0点0分, 他在家里睡觉,在0点5分到0点10分, 他在家里放松,在0点10分到0点15分, 他在家里吃饭,在0点15分到0点30分, 他在到小区公共场所的路上,现在时间是0点30分,他在到家里的路上,请回答他目前行为状态的合理程度,主要考虑时间、地点、行为以及历史行为,100为合理,0为不合理,50为不确定是否合理请结合上述让模拟趋近真实的意图,直接给出0、50、100数值就行,不要说其他任何话,不用说明理由
",,
3,"这是一个计算机模拟的小区及小区居民,居民只有6种地理位置状态:家、路上、工作地、学校、小区商场、小区公共场所,小区居民只有15种动作:睡觉、保持、休息娱乐、吃饭、散步、阅读、运动、工作、学习、购物、回家、去工作地、去学校、去小区商场、去小区公共场所,周一到周五是工作日,上班族都得去工作,工作时间一般在8点到18点之间,学生都得去上学,一般在7点到17点在学校学习,其他时间在工作地或者在学校都是不合理的,自由职业和退休人员一般都呆在家里,有时候去小区公共场所散步或运动,去小区商场买东西,晚上23点到早上6点间在社区活动不合理,模拟小区开始模拟时间是周一早上0点,所有居民都是睡觉状态,居民每天睡觉8小时左右,晚上23点到早上7点之间睡觉都合理,我们想在这个小区中模拟出正常人的行为,需要你对模拟人的状态行为打分,以保证模拟人会越来越接近正常人类,胡慧是一名正常19岁的模拟小区居民, 女性,她未婚, 受教育程度是初中, 目前是处于上班族阶段,今天是2024年2月的一天, 周一工作日, 北京时间0点0分, 她在家里睡觉,在0点10分到0点20分, 她去小区公共场所,现在时间是0点20分,她在小区公共场所散步,请回答她目前行为状态的合理程度,主要考虑时间、地点、行为以及历史行为,100为合理,0为不合理,50为不确定是否合理请结合上述让模拟趋近真实的意图,直接给出0、50、100数值就行,不要说其他任何话,不用说明理由
",,
4,"这是一个计算机模拟的小区及小区居民,居民只有6种地理位置状态:家、路上、工作地、学校、小区商场、小区公共场所,小区居民只有15种动作:睡觉、保持、休息娱乐、吃饭、散步、阅读、运动、工作、学习、购物、回家、去工作地、去学校、去小区商场、去小区公共场所,周一到周五是工作日,上班族都得去工作,工作时间一般在8点到18点之间,学生都得去上学,一般在7点到17点在学校学习,其他时间在工作地或者在学校都是不合理的,自由职业和退休人员一般都呆在家里,有时候去小区公共场所散步或运动,去小区商场买东西,晚上23点到早上6点间在社区活动不合理,模拟小区开始模拟时间是周一早上0点,所有居民都是睡觉状态,居民每天睡觉8小时左右,晚上23点到早上7点之间睡觉都合理,我们想在这个小区中模拟出正常人的行为,需要你对模拟人的状态行为打分,以保证模拟人会越来越接近正常人类,赵涛是一名正常55岁的模拟小区居民, 男性,他已婚, 受教育程度是本科, 目前是处于上班族阶段,今天是2024年2月的一天, 周一工作日, 北京时间0点0分, 他在家里睡觉,在0点5分到0点10分, 他在家里阅读,现在时间是0点10分,他在到工作地的路上,请回答他目前行为状态的合理程度,主要考虑时间、地点、行为以及历史行为,100为合理,0为不合理,50为不确定是否合理请结合上述让模拟趋近真实的意图,直接给出0、50、100数值就行,不要说其他任何话,不用说明理由
",,
5,"这是一个计算机模拟的小区及小区居民,居民只有6种地理位置状态:家、路上、工作地、学校、小区商场、小区公共场所,小区居民只有15种动作:睡觉、保持、休息娱乐、吃饭、散步、阅读、运动、工作、学习、购物、回家、去工作地、去学校、去小区商场、去小区公共场所,周一到周五是工作日,上班族都得去工作,工作时间一般在8点到18点之间,学生都得去上学,一般在7点到17点在学校学习,其他时间在工作地或者在学校都是不合理的,自由职业和退休人员一般都呆在家里,有时候去小区公共场所散步或运动,去小区商场买东西,晚上23点到早上6点间在社区活动不合理,模拟小区开始模拟时间是周一早上0点,所有居民都是睡觉状态,居民每天睡觉8小时左右,晚上23点到早上7点之间睡觉都合理,我们想在这个小区中模拟出正常人的行为,需要你对模拟人的状态行为打分,以保证模拟人会越来越接近正常人类,赵飞晓是一名正常27岁的模拟小区居民, 男性,他未婚, 受教育程度是本科, 目前是处于上班族阶段,今天是2024年2月的一天, 周一工作日, 北京时间0点0分, 他在家里睡觉,在0点10分到0点25分, 他在家里阅读,在0点25分到0点30分, 他去小区公共场所,现在时间是0点30分,他回家,请回答他目前行为状态的合理程度,主要考虑时间、地点、行为以及历史行为,100为合理,0为不合理,50为不确定是否合理请结合上述让模拟趋近真实的意图,直接给出0、50、100数值就行,不要说其他任何话,不用说明理由
",,
6,"这是一个计算机模拟的小区及小区居民,居民只有6种地理位置状态:家、路上、工作地、学校、小区商场、小区公共场所,小区居民只有15种动作:睡觉、保持、休息娱乐、吃饭、散步、阅读、运动、工作、学习、购物、回家、去工作地、去学校、去小区商场、去小区公共场所,周一到周五是工作日,上班族都得去工作,工作时间一般在8点到18点之间,学生都得去上学,一般在7点到17点在学校学习,其他时间在工作地或者在学校都是不合理的,自由职业和退休人员一般都呆在家里,有时候去小区公共场所散步或运动,去小区商场买东西,晚上23点到早上6点间在社区活动不合理,模拟小区开始模拟时间是周一早上0点,所有居民都是睡觉状态,居民每天睡觉8小时左右,晚上23点到早上7点之间睡觉都合理,我们想在这个小区中模拟出正常人的行为,需要你对模拟人的状态行为打分,以保证模拟人会越来越接近正常人类,许萍是一名正常39岁的模拟小区居民, 女性,她未婚, 受教育程度是大专, 目前是处于自由职业阶段,今天是2024年2月的一天, 周一工作日, 北京时间0点0分, 她在家里睡觉,在0点5分到0点10分, 她去小区公共场所,在0点10分到0点15分, 她回家,在0点15分到0点20分, 她去小区公共场所,在0点20分到0点30分, 她在小区公共场所运动,现在时间是0点30分,她在小区公共场所运动,请回答她目前行为状态的合理程度,主要考虑时间、地点、行为以及历史行为,100为合理,0为不合理,50为不确定是否合理请结合上述让模拟趋近真实的意图,直接给出0、50、100数值就行,不要说其他任何话,不用说明理由
",,
7,"这是一个计算机模拟的小区及小区居民,居民只有6种地理位置状态:家、路上、工作地、学校、小区商场、小区公共场所,小区居民只有15种动作:睡觉、保持、休息娱乐、吃饭、散步、阅读、运动、工作、学习、购物、回家、去工作地、去学校、去小区商场、去小区公共场所,周一到周五是工作日,上班族都得去工作,工作时间一般在8点到18点之间,学生都得去上学,一般在7点到17点在学校学习,其他时间在工作地或者在学校都是不合理的,自由职业和退休人员一般都呆在家里,有时候去小区公共场所散步或运动,去小区商场买东西,晚上23点到早上6点间在社区活动不合理,模拟小区开始模拟时间是周一早上0点,所有居民都是睡觉状态,居民每天睡觉8小时左右,晚上23点到早上7点之间睡觉都合理,我们想在这个小区中模拟出正常人的行为,需要你对模拟人的状态行为打分,以保证模拟人会越来越接近正常人类,郑泽是一名正常43岁的模拟小区居民, 男性,他未婚, 受教育程度是本科, 目前是处于上班族阶段,今天是2024年2月的一天, 周一工作日, 北京时间0点0分, 他在家里睡觉,现在时间是0点5分,他在家里睡觉,请回答他目前行为状态的合理程度,主要考虑时间、地点、行为以及历史行为,100为合理,0为不合理,50为不确定是否合理请结合上述让模拟趋近真实的意图,直接给出0、50、100数值就行,不要说其他任何话,不用说明理由
",,
8,"这是一个计算机模拟的小区及小区居民,居民只有6种地理位置状态:家、路上、工作地、学校、小区商场、小区公共场所,小区居民只有15种动作:睡觉、保持、休息娱乐、吃饭、散步、阅读、运动、工作、学习、购物、回家、去工作地、去学校、去小区商场、去小区公共场所,周一到周五是工作日,上班族都得去工作,工作时间一般在8点到18点之间,学生都得去上学,一般在7点到17点在学校学习,其他时间在工作地或者在学校都是不合理的,自由职业和退休人员一般都呆在家里,有时候去小区公共场所散步或运动,去小区商场买东西,晚上23点到早上6点间在社区活动不合理,模拟小区开始模拟时间是周一早上0点,所有居民都是睡觉状态,居民每天睡觉8小时左右,晚上23点到早上7点之间睡觉都合理,我们想在这个小区中模拟出正常人的行为,需要你对模拟人的状态行为打分,以保证模拟人会越来越接近正常人类,胡钊强是一名正常19岁的模拟小区居民, 男性,他未婚, 受教育程度是初中, 目前是处于上班族阶段,今天是2024年2月的一天, 周一工作日, 北京时间0点0分, 他在家里睡觉,在0点5分到0点15分, 他在到工作地的路上,在0点15分到0点25分, 他在到家里的路上,在0点25分到0点30分, 他在家里阅读,现在时间是0点30分,他在家里吃饭,请回答他目前行为状态的合理程度,主要考虑时间、地点、行为以及历史行为,100为合理,0为不合理,50为不确定是否合理请结合上述让模拟趋近真实的意图,直接给出0、50、100数值就行,不要说其他任何话,不用说明理由
",,
9,"这是一个计算机模拟的小区及小区居民,居民只有6种地理位置状态:家、路上、工作地、学校、小区商场、小区公共场所,小区居民只有15种动作:睡觉、保持、休息娱乐、吃饭、散步、阅读、运动、工作、学习、购物、回家、去工作地、去学校、去小区商场、去小区公共场所,周一到周五是工作日,上班族都得去工作,工作时间一般在8点到18点之间,学生都得去上学,一般在7点到17点在学校学习,其他时间在工作地或者在学校都是不合理的,自由职业和退休人员一般都呆在家里,有时候去小区公共场所散步或运动,去小区商场买东西,晚上23点到早上6点间在社区活动不合理,模拟小区开始模拟时间是周一早上0点,所有居民都是睡觉状态,居民每天睡觉8小时左右,晚上23点到早上7点之间睡觉都合理,我们想在这个小区中模拟出正常人的行为,需要你对模拟人的状态行为打分,以保证模拟人会越来越接近正常人类,李平是一名正常49岁的模拟小区居民, 男性,他未婚, 受教育程度是本科, 目前是处于自由职业阶段,今天是2024年2月的一天, 周一工作日, 北京时间0点0分, 他在家里睡觉,现在时间是0点10分,他在家里吃饭,请回答他目前行为状态的合理程度,主要考虑时间、地点、行为以及历史行为,100为合理,0为不合理,50为不确定是否合理请结合上述让模拟趋近真实的意图,直接给出0、50、100数值就行,不要说其他任何话,不用说明理由
",,
